,easting,northing,distance,racmo_2m_air_temperature_kelvin,racmo_total_precipitation_mm_water_equivalent,racmo_runoff_mm_water_equivalent,racmo_snowmelt_mm_water_equivalent,racmo_sublimation_mm_water_equivalent,racmo_snowdrift_mm_water_equivalent,heat_flux,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday,measures_velocity_mperyear,racmo_total_mass_loss,racmo_mass_balance
598,-515258.0233714976,-1190932.9891537118,5982.891656730985,254.95327626760866,230.09318076512068,-1.4302981140464462e-06,112.53150597881032,1.3104389145617288,24.83286968331813,-4.57811823589056e+31,1364.6668782993077,798.6118866174526,566.0549916818552,1385.1186017040886,1385.0398444930356,0.006717007731669288,15.654267056439304,-1.3104403448598427,231.40362110998052
599,-515267.20929628436,-1190936.9534316522,5992.896492277358,254.95372552603473,230.18454727708232,-1.4357249055864167e-06,112.55708204534514,1.3024456525947168,24.834117466598926,-4.584401814704682e+31,1364.6228135283184,798.8830990571381,565.7397144711803,1384.9934332385142,1384.9942979293453,0.006748949050574745,15.683213962913042,-1.3024470883196224,231.48699436540193
600,-515276.4014790409,-1190940.903176986,6002.901327823731,254.95417461380006,230.27587207301218,-1.4408766557082478e-06,112.58266863214493,1.2944614526821592,24.835368510298856,-4.590690673991859e+31,1364.58319206684,799.1522665009892,565.4309255658513,1384.9221394103906,1384.9526869961567,0.006780337262963823,15.712286936079261,-1.294462893558815,231.57033496657098
601,-515285.6000590539,-1190944.8380005213,6012.906163370104,254.95462349561936,230.36715246162768,-1.4457567196740487e-06,112.60826340479433,1.2864870814583729,24.83662317165932,-4.596984909121318e+31,1364.5472814915795,799.4194119878515,565.127869503728,1384.9209145332006,1384.9178793648605,0.006811082431594425,15.7414778681649,-1.2864885272150925,231.65364098884277
602,-515294.8051652474,-1190948.7575322732,6022.910998916476,254.9550721366177,230.45838583530522,-1.4503685475606626e-06,112.63386403991434,1.278523290173963,24.83788179317486,-4.603284608411108e+31,1364.5140473283905,799.6845601102648,564.8294872181258,1384.9253592161788,1384.8873173044367,0.006841096949889011,15.770779042903904,-1.2785247405425104,231.73691057584773
603,-515304.0169162447,-1190952.661421569,6032.91583446285,254.95552050234483,230.5495696718398,-1.4547156753918586e-06,112.65946822581705,1.2705708143499246,24.839144702460914,-4.609589853164632e+31,1364.4821957417346,799.9477371134936,564.5344586282412,1384.9393974228335,1384.8558576561725,0.006870295797210216,15.800183260222717,-1.2705722690656,231.82014194090542
604,-515313.2354204207,-1190956.5493371978,6042.920670009223,254.95596855878995,230.64070153651633,-1.4588017164138063e-06,112.68507366322629,1.2626303733885302,24.840412212091543,-4.615900717700661e+31,1364.450221958553,800.2089709956654,564.2412509628873,1384.8192698904088,1384.8197723571066,0.006898596793001566,15.829683939541756,-1.2626318321902466,231.90333336870657
605,-515322.4607759436,-1190960.4209676087,6052.925505555594,254.95641627239942,230.73177908455244,-1.4626303525027386e-06,112.71067806607225,1.2547026701335648,24.84168461940186,-4.622217269376052e+31,1364.4164641617544,800.4682916088369,563.9481725529172,1384.7529532412882,1384.7774070186072,0.0069259208493326315,15.859275202279663,-1.2547041327639175,231.98648321731636
606,-515331.693070802,-1190964.276021171,6062.930341101968,254.95686361009567,230.82280006397644,-1.4662053256897635e-06,112.73627916236902,1.2467883903706887,24.842962206246824,-4.628539568598677e+31,1364.3791625817998,800.7257307608254,563.6534318209747,1384.6960768791891,1384.7273534365977,0.006952192221392785,15.88895193419325,-1.2467898565760143,232.06958992055246
607,-515340.93238281494,-1190968.1142264926,6072.935176648341,254.9573105392978,230.9137623189165,-1.4695304297828656e-06,112.76187469516687,1.2388882022698458,24.844245238715065,-4.634867668828361e+31,1364.3365235100446,800.9813223174884,563.3552011925563,1384.7243787188845,1384.6679397819653,0.006977338755516661,15.918709828194268,-1.2388896718002755,232.15265199071678
608,-515350.1787987675,-1190971.935286361,6082.940012194715,254.95775702668973,231.00466352144315,-1.47260950815706e-06,112.78746238433982,1.231002798398985,24.8455340025256,-4.641201629706196e+31,1364.2867880826927,801.2351020685973,563.0516860140956,1384.5889888915513,1384.5981052187474,0.007001292281967578,15.948545299054267,-1.2310042710084932,232.23566779245164
609,-515359.4323818042,-1190975.7389564095,6092.944847741086,254.95820304034845,231.0955016306889,-1.4754464442142705e-06,112.81303999302489,1.2231328234700023,24.846828742523876,-4.647541494674255e+31,1364.2283051521397,801.487108205504,562.7411969466352,1384.4321595154554,1384.5239968231124,0.007023988615628582,15.978454693614662,-1.2231342989164464,232.31863592960534
610,-515368.6931608373,-1190979.5250723804,6102.949683287458,254.958648550509,231.1862750583139,-1.4780451371515315e-06,112.8386053524953,1.2152788487119133,24.848129641591527,-4.6538872836896625e+31,1364.1596299805574,801.7373808934223,562.4222490871352,1384.3800909669035,1384.45543482007,0.007045367699481595,16.008433603305967,-1.2152803267570504,232.40155538507094
611,-515377.9611721874,-1190983.2934494829,6112.954518833833,254.95909352685655,231.2769820808524,-1.480409507786308e-06,112.8641562778591,1.2074414639950886,24.849436898040583,-4.660239021802064e+31,1364.0796503024417,801.985960748055,562.093689554387,1384.3914838570245,1384.400280413511,0.0070653741613529815,16.038478120823264,-1.2074429444045964,232.484425025257
612,-515387.2364415853,-1190987.043926319,6122.959354380207,254.95953793972427,231.36762109798826,-1.4825434870982737e-06,112.88969060581144,1.1996212372824686,24.85075069179548,-4.666596726795369e+31,1363.9884338536333,802.2328606011124,561.755573252521,1384.374911516559,1384.360910722282,0.007083957408851887,16.068585047858665,-1.1996227198259557,232.56724381781422
613,-515396.5189840136,-1190990.776365785,6132.964189926578,254.95998176013273,231.45819063988,-1.4844510078150913e-06,112.91520619627099,1.1918187135084264,24.85207118365798,-4.672960409073238e+31,1363.887674635922,802.4780458550327,561.4096287808892,1384.3525539377304,1384.3325376296461,0.007101071854985972,16.098751839445672,-1.1918201979594343,232.65001083783943
614,-515405.80880350847,-1190994.4906561044,6142.96902547295,254.96042495983173,231.5486893754117,-1.4861359958812388e-06,112.9407009341665,1.18403441332796,24.85339851446588,-4.679330071516795e+31,1363.7793441161655,802.7214781389115,561.0578659772542,1384.2668090182449,1384.309916834711,0.007116677139179187,16.12897654494889,-1.1840358994639557,232.73272527487566
615,-515415.10589291673,-1190998.186712013,6152.9738610193235,254.96086751134712,231.6391161214689,-1.4876023617634142e-06,112.96617273139024,1.176268831722253,24.85473280413412,-4.685705709311571e+31,1363.665494372721,802.9631197316172,560.702374641104,1384.3294171217804,1384.2887870968354,0.007130738343573744,16.159257746038428,-1.1762703193246147,232.8153864407935
