,longitude,latitude
235,-530289.0304059742,-1201791.913197323
236,-530234.4869903601,-1201887.8504330344
237,-530173.704967186,-1201979.9736814196
238,-530108.4558970392,-1202068.9988919937
239,-530040.493038063,-1202155.9764496873
240,-529971.3236578478,-1202242.000311583
241,-529902.1314156507,-1202328.0058734166
242,-529833.7634731837,-1202414.6672308508
243,-529766.7641614496,-1202502.3901770888
244,-529701.4890982287,-1202591.4029642416
245,-529638.1650821246,-1202681.8134414263
246,-529577.0739619278,-1202773.7464667023
247,-529518.6255818983,-1202867.3803278576
248,-529463.3285735921,-1202962.9072390315
249,-529411.6622486785,-1203060.4445050126
250,-529363.8319330578,-1203159.9195417517
251,-529319.759155657,-1203261.1170404458
252,-529279.1199786961,-1203363.7426281276
253,-529241.4971065703,-1203467.5126358105
254,-529206.5486978878,-1203572.2146602157
255,-529174.1802405094,-1203677.7427192784
256,-529144.5554734579,-1203784.0726342367
257,-529118.3312781303,-1203891.2894638565
258,-529096.3250581617,-1203999.4475617742
259,-529079.5571662898,-1204108.5362991106
260,-529068.6811236081,-1204218.3673304867
261,-529063.7018980655,-1204328.6253305161
262,-529064.2815054649,-1204438.9975505804
263,-529069.4328575504,-1204549.2536625438
264,-529078.1593552371,-1204659.2875233586
265,-529089.5145060251,-1204769.0833338962
266,-529102.6971753257,-1204878.676023384
267,-529117.0387490216,-1204988.1237776454
268,-529131.9731401731,-1205097.4924723876
269,-529146.9847334032,-1205206.8506222088
270,-529161.6897676748,-1205316.2503210958
271,-529175.7536729205,-1205425.734141599
272,-529188.9265244985,-1205535.3284999917
273,-529201.008655951,-1205645.0483424736
274,-529211.7672130209,-1205754.9055993
275,-529221.1065804575,-1205864.8924778642
276,-529228.8208239506,-1205975.0050548094
277,-529234.8948826394,-1206085.2201828337
278,-529239.2497310949,-1206195.516547876
279,-529241.8136172906,-1206305.868947476
280,-529242.5640696217,-1206416.2483773855
281,-529241.3441698304,-1206526.6235279483
282,-529237.8941288883,-1206636.9509864498
283,-529232.1006686804,-1206747.1795677606
284,-529223.8674065553,-1206857.2529772096
285,-529213.1581810465,-1206967.113533238
286,-529200.2711066812,-1207076.7405309794
287,-529185.6946689512,-1207186.1564514232
288,-529169.9384173262,-1207295.4093826774
289,-529153.5178133044,-1207404.5647881406
290,-529136.9370365014,-1207513.6960496923
291,-529120.6767503397,-1207622.8754327912
292,-529105.162055722,-1207732.1630920065
293,-529090.7095264018,-1207841.5960439218
294,-529077.4970100754,-1207951.185356622
295,-529065.5602809312,-1208060.9208345015
296,-529054.797902261,-1208170.777827031
297,-529045.0385013863,-1208280.7287344425
298,-529036.0943007395,-1208390.74924959
299,-529027.7958667992,-1208500.820450972
300,-529019.8790540443,-1208610.9197993812
301,-529012.1512341017,-1208721.0326277835
302,-529004.4000635439,-1208831.1438107723
303,-528996.3966488462,-1208941.236867305
304,-528987.9446437344,-1209051.2963447776
305,-528978.6982516967,-1209161.2917193705
306,-528968.5033663873,-1209271.2027614904
307,-528957.0113226572,-1209380.985658492
308,-528943.9333970773,-1209490.5899232214
309,-528929.0972996771,-1209599.9702363382
310,-528912.0783485353,-1209709.0312397727
311,-528893.0493485063,-1209817.7599289087
312,-528871.7746667032,-1209926.0712411439
313,-528848.5923790617,-1210033.9909737527
314,-528823.7038624336,-1210141.5304697456
315,-528797.304023327,-1210248.7098550037
316,-528769.9291872449,-1210355.644700532
317,-528741.863573467,-1210462.4006785096
318,-528713.465149731,-1210569.068769748
319,-528684.9835723535,-1210675.7147019457
320,-528656.4775191959,-1210782.3540932313
321,-528627.8646115029,-1210888.9648398713
322,-528599.0064678374,-1210995.509409258
323,-528569.7570612946,-1211101.9471988517
324,-528539.9759532929,-1211208.237457394
325,-528509.8303748582,-1211314.4249530763
326,-528479.4589670502,-1211420.5481265958
327,-528448.8989882036,-1211526.6171261044
328,-528417.8895999953,-1211632.5552547805
329,-528386.007180928,-1211738.2333225566
330,-528353.0991343701,-1211843.5967941906
331,-528320.0087986052,-1211948.902581696
332,-528289.7953359633,-1212055.0463939041
333,-528267.606723967,-1212163.075340056
334,-528259.6276959283,-1212273.006072302
335,-528271.2080999679,-1212382.6003740772
336,-528300.0538680486,-1212489.0189239027
337,-528341.1147908928,-1212591.3763605158
338,-528391.1596687008,-1212689.6858032353
339,-528448.0929373581,-1212784.2096960342
340,-528510.8190872616,-1212875.0391260274
341,-528578.9133036155,-1212961.9016246265
342,-528650.0261518712,-1213046.2886080148
343,-528723.4533124999,-1213128.6928785304
344,-528798.7129615559,-1213209.4376738323
345,-528875.5265571031,-1213288.7080638066
346,-528954.1343988919,-1213366.2010255544
347,-529035.1236720333,-1213441.2029779998
348,-529119.0956188377,-1213512.8488947179
349,-529206.447666079,-1213580.3301832688
