,easting,northing,distance,ramco_2m_air_temperature_kelvin,ramco_total_precipitation_mm_water_equivalent,ramco_runoff_mm_water_equivalent,ramco_snowmelt_mm_water_equivalent,ramco_sublimation_mm_water_equivalent,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday
1247,-519252.34640140354,-1195303.5431424796,12479.926497846716,255.3894713124781,301.90221872028417,3.227084774704087e-06,134.6511805755276,-7.082384924637486,1314.0268720411095,669.7800578326093,644.2468142085005,1327.1621955263645,1327.133176712378,0.011654876554947432
1248,-519258.25568874064,-1195311.6202366443,12489.934458149719,255.39043866728682,302.04281550436696,3.136663587403523e-06,134.70014640963768,-7.099468001035563,1313.9536950254958,669.5939132409217,644.3597817845744,1327.1337895240624,1327.1156043226017,0.011634713027694674
1249,-519264.1323049387,-1195319.7211325702,12499.942418452725,255.39141243324838,302.1834557973441,3.0449046347674495e-06,134.74942610848134,-7.116657493104867,1313.873439808365,669.4054539120829,644.4679858962818,1327.1265523577542,1327.104001775323,0.011615894201165572
1250,-519269.9786295793,-1195327.8439159668,12509.95037875573,255.39239249160536,302.32413929347143,2.951871611275521e-06,134.79901212560466,-7.133950322484137,1313.7862468218063,669.2147766932634,644.5714701285431,1327.131786187617,1327.0964018676286,0.011598312434375646
1251,-519275.7944150461,-1195335.988593412,12519.958339058732,255.39337882201502,302.4648644796196,2.857653133841311e-06,134.84890377433092,-7.151346134355888,1313.692900279569,669.0219427801809,644.670957499388,1327.0954141202042,1327.0876978926797,0.011581877137294945
1252,-519281.5795937468,-1195344.155039753,12529.966299361738,255.39437139549213,302.60562992380676,2.762338031877336e-06,134.89909980868777,-7.168844358761591,1313.5949572731904,668.8270297013139,644.7679275718765,1327.0559818404813,1327.0726170886892,0.011566490336928987
1253,-519287.33600823814,-1195352.341787389,12539.974259664743,255.3953701159446,302.74643560222273,2.6660036536739185e-06,134.9495941661397,-7.1864425305852615,1313.4941953861858,668.6301294099213,644.8640659762643,1327.0768621377479,1327.0497546493173,0.01155203240785077
1254,-519293.06287563423,-1195360.5492315157,12549.98221996775,255.39637497811236,302.88727972098224,2.568748892968066e-06,135.0003873182678,-7.2041407740143235,1313.3923554996716,668.4312885913256,644.9610669083461,1327.0376981660413,1327.0232709842892,0.011538401343619605
1255,-519298.76161968475,-1195368.7762277888,12559.990180270752,255.39738590096493,303.0281622299206,2.4706595846350306e-06,135.0514742522966,-7.221937054422125,1313.2910733864044,668.2305858912871,645.0604874951175,1326.9909575147997,1326.9958169738682,0.011525471903309778
1256,-519304.433254807,-1195377.0219370262,12569.998140573758,255.3984028184804,303.16908294418585,2.3718276874238553e-06,135.10285099847263,-7.2398297583072555,1313.1918399382782,668.028090950988,645.1637489872905,1327.0090459594855,1326.9659504848535,0.011513118467493203
