,easting,northing,distance,ramco_2m_air_temperature_kelvin,ramco_total_precipitation_mm_water_equivalent,ramco_runoff_mm_water_equivalent,ramco_snowmelt_mm_water_equivalent,ramco_sublimation_mm_water_equivalent,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday
2265,-525444.4076765872,-1195328.5526406344,22661.29929972034,256.0004276643548,340.23499301208636,-0.000813419633994758,159.45002317556637,-14.3707728558888,1260.2220740157231,593.8660109914658,666.3560630242577,1263.6183908497126,1263.591688254617,0.020855312310280115
2266,-525452.7421974869,-1195334.087575656,22671.30428837364,256.00204177392555,340.326575850133,-0.0008012357336795773,159.51832711226163,-14.399016635440796,1260.0690514584135,593.7847224029124,666.2843290555011,1263.346725120236,1263.41287400951,0.020914876400363543
2267,-525461.0630524602,-1195339.6430343122,22681.30927702694,256.00365383458455,340.4182864053588,-0.00078787379758691,159.58654629721516,-14.42726254431061,1259.9184248459103,593.7044443028805,666.21398054303,1263.1895332135496,1263.241336659667,0.020972937564075044
2268,-525469.3726716418,-1195345.2152835706,22691.314265680237,256.00526385902486,340.51006129357086,-0.000773357519706305,159.6546796560834,-14.455509042020266,1259.770345186727,593.625132469517,666.1452127172101,1263.056926605883,1263.0773427251252,0.021029348125922817
2269,-525477.67128106,-1195350.80391739,22701.31925433353,256.0068717974746,340.60190064772394,-0.0007576996771145801,159.7227268921882,-14.483754279139026,1259.6247785028418,593.5467711805481,666.078007322294,1262.8750481136276,1262.9177994581466,0.021083964025471975
2270,-525485.9576243876,-1195356.4107222958,22711.324242986837,256.00847755500325,340.69384671494305,-0.0007409067400165909,159.79068808614693,-14.511996115902207,1259.4815445643653,593.4693647966625,666.0121797677032,1262.6944312025914,1262.7613033085015,0.0211366444351666
2271,-525494.2330435049,-1195362.0336381712,22721.32923164013,256.0100811219128,340.785867701762,-0.0007229993807473158,159.85856295722635,-14.540233015635023,1259.3403232752223,593.3928771087324,665.9474461664898,1262.5803854567766,1262.6088264707932,0.02118724013345613
2272,-525502.4982902983,-1195367.6714962895,22731.334220293433,256.01168247352854,340.8779487620904,-0.0007039959963501628,159.92635151849163,-14.568463388858937,1259.2007010867928,593.3172777418819,665.8834233449112,1262.5050520298373,1262.4599989643707,0.021235602852209566
2273,-525510.752978461,-1195373.324803059,22741.339208946727,256.0132815503094,340.97010725419045,-0.000683910429738745,159.99405406448892,-14.596685414663362,1259.0622061153695,593.2425514183193,665.8196546970502,1262.3146843638383,1262.3123527570451,0.02128162718931079
2274,-525518.9970117111,-1195378.9936367106,22751.34419760003,256.01487830433456,341.0623522389757,-0.000662758997617486,160.0616709539092,-14.62489737302997,1258.9243242511411,593.1686764636636,665.7556477874775,1262.1855623531562,1262.1637043965954,0.02132527550667351
2275,-525527.2318017831,-1195384.6758886871,22761.34918625333,256.01647274184955,341.15465037653667,-0.0006405656691548099,160.129202562488,-14.65309800165982,1258.7865110036057,593.0956047571124,665.6909062464935,1262.0793733828682,1262.0154888605664,0.021366514234937465
2276,-525535.4576307547,-1195390.3711064437,22771.354174906624,256.0180648338863,341.24700020110396,-0.0006173498706913675,160.19664951709908,-14.681285794428357,1258.6482365622176,593.0233032686515,665.6249332935664,1261.860715561942,1261.8715297897622,0.02140531688730679
2277,-525543.6734640765,-1195396.0807345023,22781.359163559922,256.0196545074194,341.3394369721245,-0.0005931263157627522,160.26401259015068,-14.709458889207601,1258.509009466111,592.9517584544626,665.5572510116491,1261.7265528947705,1261.731549120524,0.021441665631593478
2278,-525551.8807978168,-1195401.8025731712,22791.364152213217,256.02124178065446,341.43192521748017,-0.0005679212892326689,160.3312926011153,-14.73761621230357,1258.368357694959,592.8809129374333,665.487444757526,1261.6043096880155,1261.589734837571,0.021475536328131133
2279,-525560.0801111697,-1195407.5358992915,22801.369140866518,256.0228266390898,341.5244579588596,-0.0005417572107342418,160.398490547464,-14.765756444857203,1258.2258779436625,592.8107232199618,665.4151547237007,1261.4948611667412,1261.438455278576,0.021506912119245433
2280,-525568.2713365066,-1195413.280775372,22811.374129519816,256.0244090509524,341.6170434065376,-0.0005146549805056492,160.46560753897165,-14.793878134714385,1258.08124524752,592.7411527349606,665.3400925125599,1261.274306763658,1261.2783385917287,0.021535782052237978
2281,-525576.454205685,-1195419.0375478254,22821.379118173114,256.02598897914805,341.709695252908,-0.00048663554535743187,160.53264477720174,-14.821979793138505,1257.9342210144753,592.6721664396499,665.2620545748256,1261.108184082955,1261.1149222969539,0.021562139883297207
2282,-525584.6299962265,-1195424.8043686491,22831.384106826405,256.02756644533326,341.8023843972538,-0.00045772617352648885,160.59960364590438,-14.850060482763887,1257.7846817546497,592.6037021789515,665.1809795756984,1260.9633351579098,1260.9520952393354,0.021585976477964532
2283,-525592.7989929362,-1195430.58080972,22841.389095479706,256.0291414374936,341.89510927427176,-0.00042795078021161154,160.66648561735911,-14.878118983291957,1257.6326517399925,592.5357175258413,665.0969342141516,1260.8213526763407,1260.7901482783002,0.021607290723259794
2284,-525600.9608579861,-1195436.3673233318,22851.394084133008,256.03071392252247,341.9878854317141,-0.00039733172836670344,160.73329221942836,-14.906153889818787,1257.4781656223226,592.4681799179984,665.0099857043245,1260.6072726062093,1260.6292289496234,0.021626088268253935
2285,-525609.1161084889,-1195442.1631555557,22861.399072786302,256.0322839011307,342.08070484106247,-0.0003658948419577483,160.80002514902472,-14.934164127403934,1257.3212345513514,592.4010394638772,664.9201950874748,1260.4161976781747,1260.4718267465605,0.021642374980384824
2286,-525617.2655077517,-1195447.9672121669,22871.404061439604,256.0338513855422,342.17355274636105,-0.000333666979288164,160.8666862435643,-14.962148748865749,1257.1618503450113,592.3342393988206,664.8276109461908,1260.293427298392,1260.3211834760211,0.021656159602416958
