,easting,northing,distance,ramco_2m_air_temperature_kelvin,ramco_total_precipitation_mm_water_equivalent,ramco_runoff_mm_water_equivalent,ramco_snowmelt_mm_water_equivalent,ramco_sublimation_mm_water_equivalent,bedmachine_ice_surface_elevation_masl,bedmachine_ice_thickness_m,bedmachine_bed_elevation_masl,arcticdem_10m_ice_surface_elevation_masl,arcticdem_32m_ice_surface_elevation_masl,promice_velocity_mperday
1999,-527588.2771751839,-1196953.203806612,19996.91051323373,256.42729542376395,367.7920413690854,-0.00805099267891804,181.8543705025469,-21.300826354174305,1218.0243170815922,568.2241067331443,649.800210348448,1223.9429916979402,1223.9286206447916,0.025167470563909142
2000,-527595.8217473737,-1196959.7725633408,20006.91397021884,256.4294493447084,367.90764890205435,-0.008067399452881086,181.9930145391074,-21.330429754576087,1217.8128812016407,568.1917801624229,649.621101039218,1223.8338200956525,1223.7877728313076,0.025160094653761157
2001,-527603.358598455,-1196966.350178295,20016.91742720395,256.4316134487359,368.02344920990606,-0.008075844977392747,182.13251397077198,-21.360119917300125,1217.6023953502208,568.1619871346285,649.4404082155922,1223.643404902207,1223.6437519739902,0.025153581400124834
2002,-527610.8874474567,-1196972.936951149,20026.920884189054,256.4337877476469,368.1394480777594,-0.00807611580984585,182.2728708839237,-21.389896706836016,1217.393197666996,568.1348663415979,649.2583313253982,1223.5088401672006,1223.4958069852532,0.025147882443897665
2003,-527618.4091446053,-1196979.5318894223,20036.924341174166,256.4359722543672,368.25562729632134,-0.008067990146251506,182.41408616386917,-21.41975983738549,1217.1856316756698,568.1105225637409,649.0751091119283,1223.3497625338275,1223.34321431382,0.025142940775748333
2004,-527625.9239994012,-1196986.134623184,20046.927798159282,256.43816697648697,368.3719801949081,-0.008051248606592367,182.55616095598566,-21.44970904408319,1216.9800865283069,568.0890800855149,648.891006442792,1223.1413018665478,1223.1849361190104,0.02513869638322558
2005,-527633.4323315049,-1196992.7447732205,20056.931255144387,256.44037191830046,368.4884999182721,-0.008025671044079315,182.69909617528447,-21.47974402525975,1216.7769139923103,568.0706633679615,648.7062506243485,1223.0008805446369,1223.0207286386471,0.025135084749489417
2006,-527640.9344786631,-1196999.3619420077,20066.934712129496,256.4425870807762,368.6051792591565,-0.007991036481984784,182.84289249556636,-21.5098644410707,1216.5763632009514,568.0554007093202,648.5209624916309,1222.8927206743604,1222.851758772971,0.02513203724455946
2007,-527648.430796081,-1197005.9857144477,20076.938169114605,256.44481246149087,368.72201067210466,-0.007947123109130106,182.9875503458982,-21.54006991296994,1216.37856833256,568.0434241876102,648.335144144949,1222.696767084529,1222.6825722738786,0.0251294893395944
2008,-527655.9216535753,-1197012.615661082,20086.941626099717,256.4470480545539,368.8389863333868,-0.007893708306847817,183.13306990873278,-21.570360023361456,1216.1835407191863,568.0348696186694,648.1486711005169,1222.4823998459096,1222.5184041425082,0.025127414940424052
